,Date,Open,High,Low,Close,Volume,SMA,TENKAN,KIJUN,senkou_span_a,SENKOU,CHIKOU,RSI,EMA
2491,20170925,40.4959,40.7438,40.3306,40.4959,991050,40.609508333333274,40.30995,38.6777,35.9297,35.3925,48.3471,61.883141466178465,40.49874672823405
2492,20170926,40.4959,41.281000000000006,40.3306,40.8264,1097210,40.52685833333327,40.30995,38.6777,35.9297,35.4132,48.4298,64.52967250541855,40.56427738258725
2493,20170927,41.157,42.5619,41.157,42.2314,1612010,40.650824999999934,41.13635,38.88425,35.90904999999999,35.53715,49.5868,73.08510733700572,40.897701906069805
2494,20170928,42.4793,42.8099,41.9835,41.9835,802280,40.754133333333264,41.26035,39.0909,35.661125,35.53715,49.7521,69.88231304058495,41.11486152485585
2495,20170929,41.7356,42.3141,41.7356,42.31399999999999,771460,40.967624999999934,41.26035,39.2975,35.671475,35.53715,50.0,71.66510777547825,41.354689219884676
2496,20171002,42.31399999999999,42.3966,42.0661,42.1488,719100,41.0950416666666,41.26035,39.400800000000004,35.723125,35.53715,51.2397,69.45207317288185,41.51351137590774
2497,20171003,42.2314,43.3885,42.2314,42.2314,2940110,41.24655833333326,41.54965,39.9174,35.888400000000004,35.53715,54.1322,69.95171051396935,41.657089100726196
2498,20171004,42.4793,42.9752,42.31399999999999,42.9752,1930800,41.4531666666666,41.6529,40.26865,36.177674999999994,35.7438,56.6942,74.06525288094558,41.92071128058096
2499,20171005,43.0578,43.9669,42.9752,43.5537,1639860,41.70109999999993,42.14875,41.0124,36.466925,36.03305,54.5455,76.73313128747054,42.24730902446477
2500,20171006,43.5537,43.718999999999994,43.2231,43.4711,1246450,41.94903333333327,42.14875,41.63225,37.706625,37.27275,56.6942,75.53828374430164,42.49206721957182
2501,20171009,43.3058,43.3058,42.3967,42.9752,655850,42.14875833333327,42.561949999999996,41.63225,38.326475,37.85125,56.6942,68.62895720512006,42.58869377565746
2502,20171010,42.562,43.1405,41.9008,43.1405,1812200,42.362258333333266,42.85125,41.63225,38.38845,37.85125,57.0248,69.6262672671143,42.699055020525975
2503,20171011,43.1405,45.3719,43.1405,45.3719,1820720,42.7685916666666,43.553749999999994,42.33475,38.491749999999996,37.85125,57.7686,79.22677843796397,43.233624016420784
2504,20171012,45.0413,46.1157,44.5455,45.4545,955520,43.15426666666661,44.00825,42.706649999999996,38.59505,37.85125,59.0083,79.48527172024744,43.67779921313663
2505,20171013,45.0413,46.2809,44.9586,46.281000000000006,1163690,43.49173333333328,44.09085,42.78925,38.646699999999996,37.85125,63.0579,81.91082915339024,44.19843937050931
2506,20171016,46.281000000000006,46.4463,45.123999999999995,45.123999999999995,1164490,43.75344166666661,44.17355,42.87195,39.0496,38.1405,63.6364,69.519264515536,44.383551496407456
2507,20171017,45.2893,46.1157,45.0414,45.7025,611740,44.03581666666661,44.17355,42.87195,39.225225,38.1405,62.8099,71.81517452828486,44.647341197125975
2508,20171018,45.7025,46.0331,45.3719,45.3719,645210,44.30440833333327,44.17355,42.87195,39.4525,38.1405,63.2231,68.63354211589855,44.79225295770079
2509,20171019,45.3719,45.6198,45.0413,45.4545,652270,44.572999999999944,44.17355,42.87195,39.855375,38.1405,61.5702,69.00304236309069,44.92470236616064
2510,20171020,45.4545,46.1157,45.1239,45.7025,1699930,44.80027499999994,44.17355,43.07855,39.762425,38.1405,62.8099,70.14038110391478,45.08026189292852
2511,20171023,45.7851,45.9504,45.4546,45.7851,1042390,44.98622499999994,44.793400000000005,43.07855,39.762425,38.1405,62.9752,70.52825421637769,45.22122951434282
2512,20171024,45.8677,46.1157,45.2066,45.8678,1015940,45.18594999999994,45.4959,43.07855,39.762425,38.1405,62.9752,70.93533525891849,45.35054361147426
2513,20171025,45.8678,45.9504,45.4546,45.7025,639470,45.41322499999995,45.70245,43.07855,39.762425,38.1405,61.5702,68.88716820790037,45.420934889179414
2514,20171026,45.7025,45.7851,43.8017,45.7025,1424800,45.626724999999944,45.123999999999995,43.07855,39.762425,38.1405,61.6529,68.88716820790037,45.47724791134354
2515,20171027,46.1157,47.438,45.6199,47.1074,1881040,45.77134999999995,45.61985,43.67765,39.576475,38.1818,62.8926,75.78026111419335,45.803278329074836
2516,20171030,47.438,48.3471,47.19,47.9339,1520110,45.97796666666661,46.0744,44.338849999999994,39.493825,38.3471,60.3306,78.76140238335444,46.229402663259876
2517,20171031,48.1818,48.5951,47.68600000000001,48.3471,1225710,46.150141666666606,46.1984,44.46285,39.493825,38.3471,60.3306,80.08140256996765,46.65294213060791
2518,20171101,48.4297,48.595,48.0992,48.4298,1443760,46.42562499999994,46.1984,44.87605,39.493825,38.3471,59.5041,80.34470663619302,47.00831370448633
2519,20171102,48.4298,49.5868,48.3472,49.5868,1396970,46.74931666666661,46.69425,45.661199999999994,40.0103,38.4297,60.3306,83.60917308061308,47.52401096358908
2520,20171103,49.5042,50.0827,48.7604,49.7521,1227960,47.114333333333285,46.9422,45.90915,40.175625,38.5537,59.5041,84.01758578090039,47.96962877087127
2521,20171106,49.9174,50.248000000000005,49.5868,50.0,1023210,47.49312499999994,47.02485,46.0744,40.278925,38.615700000000004,58.843,84.63587895375169,48.37570301669702
2522,20171107,50.2479,51.6529,49.8347,51.2397,1645400,47.954558333333274,47.7273,46.776849999999996,40.330575,38.615700000000004,59.5041,87.28495652759094,48.948502413357616
2523,20171108,52.8926,54.2149,51.6529,54.1322,2031740,48.65014999999994,49.9174,48.05785,40.733525,38.905,59.5041,91.12846088322898,49.9852419306861
2524,20171109,55.7851,57.8512,55.3719,56.6942,1902810,49.55234999999994,52.5206,49.876,40.960775,38.96695,58.0165,93.11395933389132,51.32703354454889
2525,20171110,56.033,57.8512,53.9669,54.5455,2037660,50.289266666666606,52.768600000000006,49.876,41.580574999999996,39.256150000000005,61.157,77.45684491859504,51.97072683563911
2526,20171113,54.5455,56.6943,53.967,56.6942,1213210,51.20524166666661,52.9752,49.876,41.8905,39.256150000000005,60.7438,80.91317564176447,52.915421468511305
2527,20171114,56.6116,57.438,55.7025,56.6942,1697460,52.00414166666661,53.099199999999996,49.876,42.0971,39.33885,60.7438,80.91317564176447,53.67117717480905
2528,20171115,56.6942,57.438,55.6198,57.0248,2415870,52.761716666666615,53.3058,50.495850000000004,42.241749999999996,39.33885,60.3306,81.42146212119636,54.34190173984725
2529,20171116,56.1984,57.7686,56.1984,57.7686,1449350,53.546841666666616,53.718999999999994,50.826449999999994,42.94425,40.1653,62.4793,82.54754271060179,55.0272413918778
2530,20171117,58.0165,59.5041,57.7686,59.0083,1572620,54.42838333333328,54.669399999999996,51.6529,43.35745,40.5372,64.4628,84.25995743401882,55.82345311350225
2531,20171120,59.3389,63.0579,59.0909,63.0579,1958970,55.550974999999944,57.3554,53.4298,43.44005,40.6198,64.4628,88.2988418763035,57.2703424908018
2532,20171121,64.4629,67.4381,63.2232,63.6364,3764030,56.70799999999994,60.7025,55.6199,43.52275,40.7025,63.8017,88.74321306178572,58.54355399264144
2533,20171122,63.6364,65.124,60.7438,62.8099,1670670,57.7754916666666,60.7025,55.6199,43.52275,40.7025,63.9669,83.84413980817038,59.39682319411315
2534,20171123,62.8099,64.2975,62.1487,63.2231,1302120,58.77410833333328,60.70255,55.6199,43.52275,40.7025,63.8843,84.31046720810521,60.16207855529053
2535,20171124,63.2231,63.2231,61.5702,61.5702,858280,59.39394166666661,61.52895,55.6199,43.52275,40.7025,64.6281,74.98622992153678,60.443702844232426
